truck_id,timestamp,gps_lat,gps_lon,temperature_c,humidity_percent,battery_level_percent,shock_event,refrigeration_status,cold_chain_status,engine_status,event_type,alert_level,nearby_charger_available,distance_to_next_charger_km
TRUCK_035,2025-06-26T21:24:01.788748,11.198665,86.493392,8.11,47.67,23.95,False,On,BREACH,On,normal,none,False,7.44
TRUCK_043,2025-06-26T21:24:09.788748,35.423743,80.340285,-13.64,70.1,26.33,False,Off,BREACH,On,normal,none,,
TRUCK_091,2025-06-26T21:24:09.788748,13.476338,84.844442,2.04,59.04,37.55,False,On,NORMAL,On,normal,none,False,16.31
TRUCK_025,2025-06-26T21:24:13.788748,12.34414,87.496714,1.15,42.09,58.19,False,On,OVERCOOLED,On,normal,none,,
TRUCK_052,2025-06-26T21:24:15.788748,24.090816,92.712905,8.0,57.75,63.71,True,On,NORMAL,On,shock,low,True,30.63
TRUCK_085,2025-06-26T21:24:31.788748,31.336682,69.156173,4.38,54.74,21.24,True,On,NORMAL,On,normal,none,False,29.63
TRUCK_079,2025-06-26T21:24:32.788748,12.103135,82.086588,9.2,55.97,71.31,False,On,BREACH,On,normal,none,,
TRUCK_001,2025-06-26T21:24:34.788748,22.578465,93.642197,8.59,46.81,49.66,False,On,BREACH,On,normal,none,True,42.9
TRUCK_033,2025-06-26T21:24:41.788748,10.998636,86.853421,2.84,56.44,22.5,False,Off,BREACH,On,normal,none,True,28.72
TRUCK_007,2025-06-26T21:24:44.788748,8.760261,81.288341,3.4,50.83,24.9,False,On,NORMAL,On,normal,none,,
TRUCK_059,2025-06-26T21:24:46.788748,30.186074,87.168913,8.2,43.11,28.81,False,On,BREACH,On,normal,none,True,10.24
TRUCK_078,2025-06-26T21:25:10.788748,24.493687,79.938266,0.79,54.93,44.25,False,On,OVERCOOLED,On,normal,none,False,46.87
TRUCK_038,2025-06-26T21:25:11.788748,24.534537,85.044233,0.68,54.76,53.04,False,On,OVERCOOLED,On,normal,none,,
TRUCK_044,2025-06-26T21:25:18.788748,19.143379,84.555639,5.01,60.53,34.75,False,On,NORMAL,On,normal,none,,
TRUCK_090,2025-06-26T21:25:21.788748,35.761051,78.151395,4.62,73.1,63.26,False,On,NORMAL,On,normal,none,False,35.7
TRUCK_081,2025-06-26T21:25:33.788748,28.408151,76.013528,8.46,74.78,63.34,False,On,BREACH,On,normal,none,,
TRUCK_041,2025-06-26T21:25:34.788748,37.409229,81.432929,2.07,67.7,85.9,False,On,NORMAL,On,normal,none,,
TRUCK_053,2025-06-26T21:25:38.788748,22.069333,71.468397,1.11,47.14,20.35,False,On,OVERCOOLED,On,normal,none,,
TRUCK_023,2025-06-26T21:25:42.788748,19.776361,96.837051,7.62,48.65,10.66,False,On,NORMAL,On,normal,none,,
TRUCK_019,2025-06-26T21:25:44.788748,31.940043,80.181531,4.3,74.84,92.23,False,On,NORMAL,On,normal,none,False,7.07
TRUCK_020,2025-06-26T21:25:44.788748,27.479811,82.809917,9.05,44.42,39.17,False,On,BREACH,On,normal,none,,
TRUCK_069,2025-06-26T21:25:47.788748,19.73522,77.098514,6.66,69.77,13.03,False,On,NORMAL,On,normal,none,,
TRUCK_100,2025-06-26T21:25:49.788748,32.30647,95.797441,8.16,72.12,68.2,False,On,BREACH,On,normal,none,True,32.94
TRUCK_037,2025-06-26T21:25:57.788748,22.747282,68.81622,3.95,61.64,49.32,False,On,NORMAL,On,normal,none,,
TRUCK_086,2025-06-26T21:26:00.788748,16.378311,84.79277,22.32,50.03,70.94,False,On,NORMAL,On,normal,none,,
TRUCK_071,2025-06-26T21:26:14.788748,8.603317,79.236733,6.71,65.09,41.52,False,On,NORMAL,On,normal,none,False,29.15
TRUCK_010,2025-06-26T21:26:28.788748,18.343808,84.355751,8.9,75.3,21.85,False,On,BREACH,On,normal,none,,
TRUCK_074,2025-06-26T21:26:52.788748,17.378104,97.232145,-17.95,59.32,63.95,True,On,NORMAL,On,normal,none,,
TRUCK_017,2025-06-26T21:26:54.788748,11.397454,83.630028,9.24,72.86,42.41,False,On,BREACH,On,normal,none,,
TRUCK_011,2025-06-26T21:27:20.788748,30.797247,69.85953,7.23,71.1,24.17,False,On,NORMAL,Stalled,fault,high,,
TRUCK_028,2025-06-26T21:27:23.788748,13.325198,75.451777,-14.62,43.91,31.86,False,On,BREACH,On,normal,none,,
TRUCK_016,2025-06-26T21:27:25.788748,14.2093,95.285227,0.11,51.34,60.36,False,On,OVERCOOLED,On,normal,none,,
TRUCK_022,2025-06-26T21:27:26.788748,17.353907,88.605717,5.94,60.74,49.77,False,On,NORMAL,On,normal,none,,
TRUCK_013,2025-06-26T21:27:30.788748,36.994727,77.546161,25.79,65.88,90.74,False,On,BREACH,On,normal,none,True,23.6
TRUCK_096,2025-06-26T21:27:39.788748,25.003144,81.559829,9.94,52.01,42.93,False,On,BREACH,On,normal,none,,
TRUCK_027,2025-06-26T21:27:43.788748,25.419408,88.247247,5.72,44.08,11.22,True,On,NORMAL,On,normal,none,True,20.65
TRUCK_048,2025-06-26T21:27:45.788748,8.972786,86.542909,-19.38,43.88,10.83,False,On,OVERCOOLED,On,normal,none,,
TRUCK_072,2025-06-26T21:27:45.788748,29.681384,81.376315,5.04,70.26,92.09,False,On,NORMAL,On,normal,none,False,15.91
TRUCK_002,2025-06-26T21:27:49.788748,32.284248,93.574426,8.64,61.43,29.94,False,On,BREACH,On,normal,none,True,39.79
TRUCK_076,2025-06-26T21:27:49.788748,26.760109,80.261351,7.96,45.46,23.36,False,On,NORMAL,On,normal,none,True,8.28
TRUCK_029,2025-06-26T21:28:07.788748,17.862691,95.400643,14.05,54.93,99.55,False,On,OVERCOOLED,On,normal,none,False,9.53
TRUCK_066,2025-06-26T21:28:23.788748,34.7701,71.19408,8.37,56.09,11.76,False,On,BREACH,On,normal,none,False,13.07
TRUCK_036,2025-06-26T21:28:24.788748,28.883401,83.428047,5.67,72.09,98.75,False,On,NORMAL,On,normal,none,True,39.99
TRUCK_075,2025-06-26T21:28:26.788748,27.184107,89.738646,5.61,45.42,26.27,False,On,NORMAL,On,normal,none,False,40.64
TRUCK_064,2025-06-26T21:28:34.788748,21.510679,96.968224,24.1,51.7,55.05,False,On,NORMAL,On,normal,none,False,31.75
TRUCK_099,2025-06-26T21:28:50.788748,13.611381,95.287648,-14.45,76.53,29.08,False,On,BREACH,On,normal,none,,
TRUCK_055,2025-06-26T21:28:56.788748,13.799832,88.910665,1.77,69.18,17.02,False,On,OVERCOOLED,On,normal,none,True,13.42
TRUCK_094,2025-06-26T21:28:57.788748,31.832767,82.317713,7.56,43.55,65.8,True,On,NORMAL,On,shock,low,,
TRUCK_051,2025-06-26T21:29:04.788748,19.078791,82.409135,-13.54,77.7,44.12,False,On,BREACH,On,normal,none,False,27.09
TRUCK_031,2025-06-26T21:29:11.788748,27.757315,75.809272,1.59,43.8,19.91,False,On,OVERCOOLED,On,normal,none,False,24.59
TRUCK_047,2025-06-26T21:29:14.788748,11.821211,76.193028,3.88,59.11,80.26,False,On,NORMAL,On,normal,none,,
TRUCK_003,2025-06-26T21:29:19.788748,10.839292,79.834726,8.15,79.57,3.41,False,On,BREACH,On,fault,medium,,
TRUCK_057,2025-06-26T21:29:19.788748,23.056971,87.312664,8.66,73.83,34.53,False,On,BREACH,On,normal,none,False,14.37
TRUCK_015,2025-06-26T21:29:22.788748,24.942566,88.268854,-16.17,72.78,92.46,False,On,NORMAL,Off,rescuing,medium,False,21.98
TRUCK_087,2025-06-26T21:29:32.788748,19.912143,74.686677,3.05,67.67,40.57,False,On,NORMAL,On,normal,none,False,28.47
TRUCK_004,2025-06-26T21:29:39.788748,31.235627,70.237139,21.16,73.16,97.19,False,Off,BREACH,On,normal,none,,
TRUCK_067,2025-06-26T21:29:39.788748,21.588397,96.144575,7.58,52.44,18.34,False,On,NORMAL,On,normal,none,False,17.09
TRUCK_080,2025-06-26T21:29:49.788748,26.845789,73.349355,22.7,58.7,46.61,False,Off,BREACH,On,fault,high,,
TRUCK_024,2025-06-26T21:29:50.788748,32.446314,89.502186,-13.4,60.46,38.32,False,On,BREACH,On,normal,none,False,25.81
TRUCK_030,2025-06-26T21:29:53.788748,33.331184,91.157602,7.72,66.42,95.37,False,On,NORMAL,On,normal,none,,
TRUCK_092,2025-06-26T21:29:55.788748,15.321688,90.984931,2.76,69.36,23.16,False,On,NORMAL,On,normal,none,False,41.56
TRUCK_026,2025-06-26T21:29:56.788748,15.934373,89.749347,6.48,63.63,43.37,False,On,NORMAL,On,normal,none,,
TRUCK_056,2025-06-26T21:29:59.788748,25.604767,70.510756,19.92,78.45,43.53,False,On,NORMAL,On,normal,none,,
TRUCK_012,2025-06-26T21:30:30.788748,35.796345,76.812328,9.81,71.76,20.65,False,On,BREACH,On,normal,none,False,29.28
TRUCK_005,2025-06-26T21:30:31.788748,37.148163,74.47049,1.9,46.8,57.46,False,On,OVERCOOLED,On,normal,none,False,18.74
TRUCK_070,2025-06-26T21:30:34.788748,34.552634,89.837581,6.11,65.08,44.15,False,On,NORMAL,On,normal,none,,
TRUCK_014,2025-06-26T21:30:35.788748,12.43637,74.509272,1.35,44.54,14.24,False,On,OVERCOOLED,On,normal,none,True,36.68
TRUCK_054,2025-06-26T21:30:38.788748,22.033737,90.139763,0.74,75.83,23.58,False,On,OVERCOOLED,On,normal,none,,
TRUCK_061,2025-06-26T21:31:02.788748,23.193579,92.950511,-19.5,79.73,41.07,False,On,OVERCOOLED,On,normal,none,False,49.9
TRUCK_017,2025-06-26T21:31:03.788748,14.824638,79.077219,4.58,66.98,71.7,False,On,NORMAL,On,normal,none,,
TRUCK_064,2025-06-26T21:31:04.788748,29.374363,77.448763,17.31,45.28,48.24,False,On,NORMAL,On,normal,none,False,7.69
TRUCK_012,2025-06-26T21:31:15.788748,18.931414,89.861455,1.24,43.84,28.97,False,On,OVERCOOLED,On,normal,none,True,27.65
TRUCK_031,2025-06-26T21:31:15.788748,14.555977,78.984604,4.79,43.88,46.74,False,On,NORMAL,On,normal,none,True,26.14
TRUCK_100,2025-06-26T21:31:18.788748,31.738573,77.547619,2.82,71.74,20.9,False,On,NORMAL,On,normal,none,False,25.31
TRUCK_089,2025-06-26T21:31:23.788748,25.416163,81.868173,9.68,42.43,15.16,False,Off,BREACH,On,normal,none,True,9.12
TRUCK_016,2025-06-26T21:31:43.788748,18.645473,81.020591,8.6,56.48,54.38,False,On,BREACH,On,normal,none,,
TRUCK_011,2025-06-26T21:31:48.788748,24.919003,71.849187,9.43,60.24,40.65,False,On,BREACH,On,normal,none,,
TRUCK_018,2025-06-26T21:31:49.788748,15.276059,96.139173,-19.05,55.53,55.11,False,On,OVERCOOLED,On,normal,none,,
TRUCK_099,2025-06-26T21:31:54.788748,12.538264,78.701214,-18.12,77.59,72.33,False,On,OVERCOOLED,On,normal,none,,
TRUCK_002,2025-06-26T21:31:59.788748,17.149844,95.024763,8.76,56.71,83.62,False,On,BREACH,On,normal,none,False,45.78
TRUCK_013,2025-06-26T21:32:01.788748,12.039011,83.528696,18.19,56.36,61.68,False,On,NORMAL,Stalled,fault,high,False,35.96
TRUCK_041,2025-06-26T21:32:04.788748,32.316598,72.157171,8.48,62.24,98.77,False,On,BREACH,On,normal,none,,
TRUCK_022,2025-06-26T21:32:05.788748,9.802981,96.104771,7.1,52.28,2.58,False,On,NORMAL,On,fault,medium,,
TRUCK_063,2025-06-26T21:32:06.788748,21.507607,88.060461,6.11,79.06,12.14,False,On,NORMAL,On,normal,none,False,48.23
TRUCK_046,2025-06-26T21:32:11.788748,36.99878,70.539029,4.64,46.13,39.01,False,On,NORMAL,On,normal,none,True,10.78
TRUCK_080,2025-06-26T21:32:21.788748,35.847989,83.803739,5.88,71.4,90.07,False,On,NORMAL,On,normal,none,,
TRUCK_065,2025-06-26T21:32:25.788748,32.582133,89.414094,23.91,55.7,50.81,False,On,NORMAL,On,normal,none,True,12.26
TRUCK_021,2025-06-26T21:32:28.788748,30.595436,74.824742,-19.04,73.96,45.78,False,On,OVERCOOLED,On,normal,none,False,14.16
TRUCK_039,2025-06-26T21:32:28.788748,13.096038,79.783882,13.35,41.84,73.74,False,On,OVERCOOLED,On,normal,none,,
TRUCK_081,2025-06-26T21:32:28.788748,22.192636,68.975985,6.95,57.1,55.57,False,On,NORMAL,On,normal,none,,
TRUCK_058,2025-06-26T21:32:29.788748,9.313203,80.198284,-14.22,75.88,98.62,False,On,BREACH,On,normal,none,True,10.51
TRUCK_077,2025-06-26T21:32:30.788748,16.709994,77.666871,3.16,70.3,14.15,False,On,NORMAL,On,normal,none,,
TRUCK_007,2025-06-26T21:32:31.788748,30.211618,88.82371,9.35,50.12,40.26,True,On,BREACH,Off,normal,none,,
TRUCK_098,2025-06-26T21:32:32.788748,21.153504,76.257877,1.37,61.13,26.72,False,On,OVERCOOLED,On,normal,none,,
TRUCK_066,2025-06-26T21:32:33.788748,14.58801,82.035638,5.79,65.76,74.97,False,On,NORMAL,On,normal,none,True,31.86
TRUCK_054,2025-06-26T21:32:44.788748,32.663549,84.633014,7.69,56.86,81.08,True,Off,BREACH,On,normal,none,,
TRUCK_036,2025-06-26T21:32:46.788748,17.905741,84.64122,4.45,74.0,67.76,False,On,NORMAL,On,normal,none,True,33.94
TRUCK_024,2025-06-26T21:32:53.788748,18.426123,69.773767,-16.22,76.37,20.67,False,On,NORMAL,On,normal,none,True,17.8
TRUCK_051,2025-06-26T21:32:55.788748,21.143399,88.149638,-15.3,43.81,15.7,False,On,NORMAL,On,normal,none,True,8.29
TRUCK_030,2025-06-26T21:33:07.788748,17.933491,87.608635,2.08,78.11,22.92,False,On,NORMAL,On,normal,none,,
TRUCK_068,2025-06-26T21:33:14.788748,25.377493,79.188447,8.26,60.06,66.05,False,On,BREACH,On,normal,none,True,23.37
TRUCK_035,2025-06-26T21:33:16.788748,29.440281,86.770456,2.05,59.69,99.98,True,On,NORMAL,On,normal,none,False,42.85
TRUCK_008,2025-06-26T21:33:24.788748,10.454059,72.66574,1.3,57.11,48.33,False,On,OVERCOOLED,On,normal,none,,
TRUCK_050,2025-06-26T21:33:26.788748,33.582721,73.801254,1.38,66.98,96.62,True,On,OVERCOOLED,On,normal,none,,
TRUCK_086,2025-06-26T21:33:30.788748,9.849296,72.543016,20.24,63.94,74.32,False,On,NORMAL,On,normal,none,,
TRUCK_075,2025-06-26T21:33:33.788748,27.835103,84.769488,0.3,53.2,86.8,False,On,OVERCOOLED,On,normal,none,False,24.85
TRUCK_001,2025-06-26T21:33:35.788748,30.465932,89.282793,6.95,75.92,1.61,False,On,NORMAL,On,fault,medium,False,12.52
TRUCK_079,2025-06-26T21:33:47.788748,22.197867,92.654734,0.07,74.35,50.41,False,On,OVERCOOLED,On,normal,none,,
TRUCK_052,2025-06-26T21:33:49.788748,36.170192,69.017775,9.19,70.65,17.35,False,On,BREACH,On,normal,none,True,38.99
TRUCK_070,2025-06-26T21:33:53.788748,24.631459,91.0966,1.88,75.2,56.31,False,On,OVERCOOLED,Stalled,normal,none,,
TRUCK_014,2025-06-26T21:33:57.788748,21.148667,72.502632,1.97,76.02,47.74,False,Off,BREACH,On,normal,none,False,23.11
TRUCK_053,2025-06-26T21:34:00.788748,36.931634,81.685601,2.13,54.87,74.16,False,On,NORMAL,On,normal,none,,
TRUCK_069,2025-06-26T21:34:09.788748,32.669696,78.240206,7.98,40.29,29.27,False,On,NORMAL,On,normal,none,,
TRUCK_092,2025-06-26T21:34:31.788748,11.219847,95.231712,4.17,51.22,36.58,False,On,NORMAL,On,normal,none,True,23.03
TRUCK_040,2025-06-26T21:34:42.788748,30.010558,70.671015,-18.04,66.37,71.48,False,On,OVERCOOLED,On,normal,none,,
TRUCK_084,2025-06-26T21:34:50.788748,33.899723,70.778539,7.89,72.57,79.02,False,On,NORMAL,On,normal,none,,
TRUCK_091,2025-06-26T21:35:00.788748,27.516064,72.290838,1.55,43.38,35.81,False,On,OVERCOOLED,On,normal,none,True,48.55
TRUCK_042,2025-06-26T21:35:07.788748,34.790318,89.946587,4.05,76.88,47.55,False,On,NORMAL,On,normal,none,False,43.73
TRUCK_057,2025-06-26T21:35:12.788748,22.093429,89.240326,2.03,54.27,96.77,False,On,NORMAL,On,normal,none,True,40.24
TRUCK_056,2025-06-26T21:35:19.788748,28.000085,92.965751,15.22,54.54,64.58,True,On,NORMAL,On,shock,low,,
TRUCK_082,2025-06-26T21:35:42.788748,9.468118,71.369488,-18.79,47.07,92.28,False,On,OVERCOOLED,On,normal,none,False,30.56
TRUCK_044,2025-06-26T21:35:51.788748,27.947905,76.693881,4.73,75.33,72.12,False,On,NORMAL,On,normal,none,,
TRUCK_010,2025-06-26T21:36:00.788748,28.424394,71.259536,0.13,78.93,76.57,False,On,OVERCOOLED,On,normal,none,,
TRUCK_090,2025-06-26T21:36:00.788748,13.987214,72.394228,6.22,49.05,82.73,False,On,NORMAL,On,normal,none,False,11.42
TRUCK_093,2025-06-26T21:36:11.788748,23.337109,89.423828,3.0,42.68,72.72,False,On,NORMAL,On,normal,none,,
TRUCK_009,2025-06-26T21:36:17.788748,20.39315,70.909949,9.15,70.26,16.55,False,On,BREACH,On,normal,none,,
TRUCK_037,2025-06-26T21:36:18.788748,23.326365,87.536683,5.13,52.24,66.92,True,On,NORMAL,On,normal,none,,
TRUCK_048,2025-06-26T21:36:18.788748,20.413304,74.603625,-13.71,59.17,44.88,False,On,BREACH,On,normal,none,,
TRUCK_032,2025-06-26T21:36:31.788748,25.571515,72.888571,3.12,64.43,82.0,False,On,NORMAL,On,normal,none,,
TRUCK_049,2025-06-26T21:36:35.788748,13.668738,73.182982,8.35,72.67,34.85,False,On,BREACH,On,normal,none,,
TRUCK_085,2025-06-26T21:37:04.788748,10.542153,86.681171,7.36,74.7,52.69,False,On,NORMAL,On,normal,none,False,5.33
TRUCK_095,2025-06-26T21:37:20.788748,21.579173,81.270818,3.45,59.33,34.43,False,On,NORMAL,On,normal,none,,
TRUCK_029,2025-06-26T21:37:31.788748,33.470562,87.081388,17.32,66.81,44.65,False,On,NORMAL,On,normal,none,False,20.49
TRUCK_071,2025-06-26T21:37:32.788748,30.222315,87.861267,7.41,54.11,55.5,False,On,NORMAL,On,normal,none,True,17.86
TRUCK_005,2025-06-26T21:37:35.788748,16.110842,88.528404,0.59,68.6,35.25,False,On,OVERCOOLED,On,normal,none,True,38.16
TRUCK_072,2025-06-26T21:37:36.788748,32.991768,68.913404,0.32,51.79,32.23,False,On,OVERCOOLED,On,normal,none,False,47.33
TRUCK_045,2025-06-26T21:37:38.788748,12.934471,83.604404,1.7,52.64,53.4,False,On,OVERCOOLED,On,normal,none,False,30.78
TRUCK_060,2025-06-26T21:37:40.788748,9.593305,87.078768,2.54,73.12,23.45,False,On,NORMAL,On,normal,none,,
TRUCK_025,2025-06-26T21:37:42.788748,35.852356,90.106177,2.51,78.78,69.24,True,On,NORMAL,On,normal,none,,
TRUCK_015,2025-06-26T21:37:49.788748,25.614338,82.468452,-14.22,67.71,35.8,False,On,BREACH,On,normal,none,True,13.42
TRUCK_087,2025-06-26T21:37:49.788748,37.522949,91.300592,4.18,43.34,38.8,False,On,NORMAL,On,normal,none,False,28.72
TRUCK_067,2025-06-26T21:37:56.788748,33.501856,91.940288,5.39,62.16,67.37,False,On,NORMAL,On,normal,none,False,17.11
TRUCK_055,2025-06-26T21:37:57.788748,28.778317,71.628814,6.85,56.38,76.6,False,On,NORMAL,On,normal,none,False,25.84
TRUCK_034,2025-06-26T21:37:59.788748,15.779603,88.573666,17.89,63.68,60.0,False,On,NORMAL,On,normal,none,True,42.13
TRUCK_003,2025-06-26T21:38:00.788748,27.510753,88.351694,0.96,44.51,73.06,False,On,OVERCOOLED,On,normal,none,,
TRUCK_073,2025-06-26T21:38:00.788748,25.337747,86.778397,16.25,54.32,39.93,False,On,NORMAL,On,normal,none,False,13.83
TRUCK_094,2025-06-26T21:38:00.788748,27.853624,86.690874,7.01,54.98,25.11,False,On,NORMAL,On,normal,none,,
TRUCK_004,2025-06-26T21:38:04.788748,35.33192,84.857925,25.58,76.83,78.79,False,On,BREACH,On,normal,none,,
TRUCK_047,2025-06-26T21:38:04.788748,27.563846,75.676517,2.85,71.68,67.59,False,On,NORMAL,On,normal,none,,
TRUCK_074,2025-06-26T21:38:36.788748,30.142031,76.366934,-13.18,54.15,23.13,False,On,BREACH,On,normal,none,,
TRUCK_027,2025-06-26T21:38:51.788748,25.126998,70.55018,7.92,78.71,55.82,True,Off,BREACH,On,normal,none,False,28.09
TRUCK_033,2025-06-26T21:38:54.788748,35.849797,80.059,8.68,64.9,56.51,False,On,BREACH,On,normal,none,True,38.97
TRUCK_020,2025-06-26T21:38:59.788748,13.381481,79.022775,7.24,74.93,25.55,False,On,NORMAL,On,normal,none,,
TRUCK_076,2025-06-26T21:39:01.788748,10.128238,80.596747,6.37,54.89,58.11,False,On,NORMAL,On,normal,none,True,9.58
TRUCK_059,2025-06-26T21:39:02.788748,25.108062,88.793702,1.72,72.07,32.5,False,On,OVERCOOLED,On,normal,none,True,30.26
TRUCK_043,2025-06-26T21:39:11.788748,34.585069,78.087352,-14.15,72.64,79.75,False,On,BREACH,On,normal,none,,
TRUCK_038,2025-06-26T21:39:31.788748,36.642397,83.292369,5.99,79.73,42.98,True,On,NORMAL,On,shock,low,,
TRUCK_019,2025-06-26T21:39:37.788748,19.429664,89.312982,4.23,62.9,14.45,False,On,NORMAL,On,normal,none,True,28.82
TRUCK_083,2025-06-26T21:39:37.788748,9.101031,95.039605,4.45,65.65,61.09,True,On,NORMAL,Stalled,fault,high,,
TRUCK_023,2025-06-26T21:39:39.788748,26.562709,71.724759,0.37,47.2,58.7,False,On,OVERCOOLED,On,normal,none,,
TRUCK_096,2025-06-26T21:39:41.788748,30.719221,90.719639,4.63,65.6,34.59,False,On,NORMAL,On,normal,none,,
TRUCK_078,2025-06-26T21:39:48.788748,35.868113,84.855519,7.74,76.47,76.25,False,On,NORMAL,On,normal,none,False,39.09
TRUCK_061,2025-06-26T21:39:52.788748,17.896694,82.920415,-16.28,67.4,34.63,False,On,NORMAL,On,normal,none,False,25.97
TRUCK_097,2025-06-26T21:40:07.788748,14.963858,91.813642,9.63,49.86,10.81,False,Off,BREACH,On,normal,none,,
TRUCK_028,2025-06-26T21:40:10.788748,16.77285,79.232751,-13.66,65.31,24.81,False,On,BREACH,On,normal,none,,
TRUCK_062,2025-06-26T21:40:27.788748,22.972542,77.121698,7.3,69.27,25.96,False,Off,BREACH,On,normal,none,,
TRUCK_088,2025-06-26T21:40:30.788748,16.25316,75.104716,6.57,60.77,68.09,False,On,NORMAL,On,normal,none,,
TRUCK_026,2025-06-26T21:40:31.788748,22.485558,80.74684,6.65,45.41,66.73,False,Off,BREACH,On,normal,none,,
TRUCK_006,2025-06-26T21:40:33.788748,18.370124,91.566587,7.4,46.05,77.86,False,Off,BREACH,On,normal,none,,
TRUCK_040,2025-06-26T21:40:45.788748,9.047898,76.405248,-13.23,69.87,79.76,False,On,BREACH,On,normal,none,,
TRUCK_079,2025-06-26T21:40:48.788748,11.300164,73.119852,6.9,63.43,94.56,False,On,NORMAL,On,normal,none,,
TRUCK_045,2025-06-26T21:40:55.788748,34.037823,91.384485,3.67,64.68,75.78,False,On,NORMAL,On,normal,none,False,37.71
TRUCK_024,2025-06-26T21:41:01.788748,31.899307,92.534742,-14.26,50.57,60.7,False,On,BREACH,On,normal,none,False,14.25
